State,Total_Transactions,Total_amount
andaman-&-nicobar-islands,35467,111571687.4
andaman-&-nicobar-islands,23957,80750048.82
andaman-&-nicobar-islands,10648,34956327.94
andaman-&-nicobar-islands,10597,28127629.88
andaman-&-nicobar-islands,8848,19627951.47
andaman-&-nicobar-islands,8799,27854306.52
andaman-&-nicobar-islands,7113,21084790.05
andaman-&-nicobar-islands,5630,22671937.31
andaman-&-nicobar-islands,73334,227585492.7
andaman-&-nicobar-islands,66321,174752815.2
andaman-&-nicobar-islands,52645,134835744.2
andaman-&-nicobar-islands,34289,100890426.8
andaman-&-nicobar-islands,16476,40647907.97
andaman-&-nicobar-islands,14524,24690581.54
andaman-&-nicobar-islands,11278,28333852.06
andaman-&-nicobar-islands,10182,20377949.35
andaman-&-nicobar-islands,9635,21637658.17
andaman-&-nicobar-islands,8463,27666837.4
andaman-&-nicobar-islands,116324,388328168.8
andaman-&-nicobar-islands,84790,246433385.8
andaman-&-nicobar-islands,67257,185238368.5
andaman-&-nicobar-islands,43850,131239564.2
andaman-&-nicobar-islands,19088,48475163.57
andaman-&-nicobar-islands,16203,37962312.1
andaman-&-nicobar-islands,14657,35301326.11
andaman-&-nicobar-islands,11565,28491553.61
andaman-&-nicobar-islands,11553,43464511.05
andaman-&-nicobar-islands,9655,19497765.26
andaman-&-nicobar-islands,165719,533026208
andaman-&-nicobar-islands,121613,372243734.3
andaman-&-nicobar-islands,95028,281223411.7
andaman-&-nicobar-islands,58258,174623253.5
andaman-&-nicobar-islands,27938,94222862.11
andaman-&-nicobar-islands,25662,69245386.08
andaman-&-nicobar-islands,21913,67790798.05
andaman-&-nicobar-islands,21397,52036030
andaman-&-nicobar-islands,18915,55448543.43
andaman-&-nicobar-islands,14553,47792330.7
andaman-&-nicobar-islands,209941,615978080.7
andaman-&-nicobar-islands,157230,399715980.1
andaman-&-nicobar-islands,122716,321850608.7
andaman-&-nicobar-islands,74883,193336549.9
andaman-&-nicobar-islands,32471,72915521.84
andaman-&-nicobar-islands,30272,86955570.59
andaman-&-nicobar-islands,25379,58776727.63
andaman-&-nicobar-islands,24022,68519268.78
andaman-&-nicobar-islands,23471,55469783.66
andaman-&-nicobar-islands,17630,56879992.28
andaman-&-nicobar-islands,252722,702122365.4
andaman-&-nicobar-islands,230746,561168775.6
andaman-&-nicobar-islands,176252,415796516.6
andaman-&-nicobar-islands,101551,240451609.2
andaman-&-nicobar-islands,47069,94335358.34
andaman-&-nicobar-islands,40245,108788594.6
andaman-&-nicobar-islands,36402,82851064.58
andaman-&-nicobar-islands,32548,70178309.13
andaman-&-nicobar-islands,27750,84587978.84
andaman-&-nicobar-islands,26170,74485462.68
andaman-&-nicobar-islands,497273,951370315.4
andaman-&-nicobar-islands,259994,545653686.3
andaman-&-nicobar-islands,213864,444967255.8
andaman-&-nicobar-islands,208055,438754611.5
andaman-&-nicobar-islands,114416,239581586.8
andaman-&-nicobar-islands,40466,85492008.49
andaman-&-nicobar-islands,38350,74030563.48
andaman-&-nicobar-islands,37918,89671382.07
andaman-&-nicobar-islands,29918,85509005.85
andaman-&-nicobar-islands,27668,70002553.35
andaman-&-nicobar-islands,684366,1309407988
andaman-&-nicobar-islands,304600,612929267.2
andaman-&-nicobar-islands,258097,505662756.1
andaman-&-nicobar-islands,243494,467192496.2
andaman-&-nicobar-islands,134923,264371699.7
andaman-&-nicobar-islands,56491,137253267.7
andaman-&-nicobar-islands,54192,104539818.5
andaman-&-nicobar-islands,46364,82461782.48
andaman-&-nicobar-islands,34689,94217164.86
andaman-&-nicobar-islands,33669,82466591.08
andhra-pradesh,110496,163487278.8
andhra-pradesh,96883,170605900.5
andhra-pradesh,92754,133522310.8
andhra-pradesh,88132,127450018.2
andhra-pradesh,84644,131194265.5
andhra-pradesh,82421,68040306.14
andhra-pradesh,81891,140880970.1
andhra-pradesh,69581,119009922
andhra-pradesh,68340,101612118.9
andhra-pradesh,68193,81006512.72
andhra-pradesh,165506,305629373.2
andhra-pradesh,140893,127814123.9
andhra-pradesh,129798,285924993.6
andhra-pradesh,127731,243405277.9
andhra-pradesh,123176,271911611
andhra-pradesh,114806,242175477.6
andhra-pradesh,111874,235770318
andhra-pradesh,100630,220730389.6
andhra-pradesh,96619,197068813.6
andhra-pradesh,93442,163942778.2
andhra-pradesh,1300146,709765830
andhra-pradesh,421968,240766495.1
andhra-pradesh,296154,291247918.8
andhra-pradesh,295403,466133618.6
andhra-pradesh,276595,438158383.2
andhra-pradesh,234494,380410223.2
andhra-pradesh,233347,386563858.7
andhra-pradesh,220165,109844218.7
andhra-pradesh,213275,291805923
andhra-pradesh,206435,371140000.3
andhra-pradesh,441662,332201263.3
andhra-pradesh,423357,714887920
andhra-pradesh,367619,575982481.3
andhra-pradesh,355695,651952970.9
andhra-pradesh,318300,594747982
andhra-pradesh,277131,356075793.9
andhra-pradesh,269798,572252390.2
andhra-pradesh,250261,492229977.2
andhra-pradesh,248725,326891428.6
andhra-pradesh,248520,357423401.6
andhra-pradesh,950821,1529039458
andhra-pradesh,922416,1244725311
andhra-pradesh,814616,1462807206
andhra-pradesh,684611,960022481.6
andhra-pradesh,671661,1009128525
andhra-pradesh,609682,1009938284
andhra-pradesh,545426,389782597
andhra-pradesh,527667,590799502.9
andhra-pradesh,472914,531596255.9
andhra-pradesh,460133,774931063
andhra-pradesh,2602865,5218795716
andhra-pradesh,1828617,3823390190
andhra-pradesh,949187,1669949939
andhra-pradesh,839909,1759418776
andhra-pradesh,793798,1257915826
andhra-pradesh,760335,1412863012
andhra-pradesh,567306,1282118916
andhra-pradesh,520142,718170914.4
andhra-pradesh,490697,973983824.5
andhra-pradesh,480905,650710126.3
andhra-pradesh,2944756,6693257654
andhra-pradesh,1905190,4414503366
andhra-pradesh,1434209,2203932856
andhra-pradesh,1196020,1658162549
andhra-pradesh,1060513,1854927352
andhra-pradesh,1003916,2216532549
andhra-pradesh,868052,1667826832
andhra-pradesh,858005,970993081.2
andhra-pradesh,799271,911939243.1
andhra-pradesh,711726,1095056836
andhra-pradesh,4185063,9160387223
andhra-pradesh,2544877,5933007157
andhra-pradesh,1920211,3073084030
andhra-pradesh,1591033,2295184224
andhra-pradesh,1438154,2509394596
andhra-pradesh,1406768,2478459133
andhra-pradesh,1324202,2927313968
andhra-pradesh,1202983,2376869517
andhra-pradesh,1131832,1339103328
andhra-pradesh,1084796,1266927471
andhra-pradesh,6695271,15258657487
andhra-pradesh,2196548,3731404466
andhra-pradesh,1661816,2593325339
andhra-pradesh,1554974,2719620696
andhra-pradesh,1346804,2696427931
andhra-pradesh,1159480,1519955259
andhra-pradesh,1125194,2653339804
andhra-pradesh,1104748,1412381496
andhra-pradesh,1098395,2059547223
andhra-pradesh,1058410,2575723775
andhra-pradesh,4994637,12817902607
andhra-pradesh,1708935,3203679955
andhra-pradesh,1575118,2854711069
andhra-pradesh,1553283,3993963026
andhra-pradesh,1067022,1893629834
andhra-pradesh,1066066,2616099329
andhra-pradesh,1026587,2447755903
andhra-pradesh,979822,2015820866
andhra-pradesh,963666,2678051229
andhra-pradesh,956641,2767045048
andhra-pradesh,5194663,13718743729
andhra-pradesh,4159532,10383207818
andhra-pradesh,2735691,5544720473
andhra-pradesh,2534360,6637577271
andhra-pradesh,2306174,4594510974
andhra-pradesh,2238996,6543183825
andhra-pradesh,1921871,3560898943
andhra-pradesh,1669413,4116758527
andhra-pradesh,1625687,4701116489
andhra-pradesh,1514873,3352462441
andhra-pradesh,5029692,12810644736
andhra-pradesh,4235146,9849636860
andhra-pradesh,4125544,7866883789
andhra-pradesh,3420778,6749696776
andhra-pradesh,3119905,8005247952
andhra-pradesh,2981818,5591062751
andhra-pradesh,2821800,6442101737
andhra-pradesh,2219953,4809927718
andhra-pradesh,2170458,4679865894
andhra-pradesh,2027751,3252434513
andhra-pradesh,7269657,16698428355
andhra-pradesh,5875319,13567044097
andhra-pradesh,4354325,8224302893
andhra-pradesh,3591058,9183853695
andhra-pradesh,3378549,6593121541
andhra-pradesh,3144495,5679150412
andhra-pradesh,2941623,7434205012
andhra-pradesh,2815993,6225481723
andhra-pradesh,2584588,6753205747
andhra-pradesh,2291676,4716738890
andhra-pradesh,11023032,25519404147
andhra-pradesh,7850540,19042845773
andhra-pradesh,5441708,14948864291
andhra-pradesh,4614209,9215678010
